rec_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-401-org,   unk, m, 29, 19870923, mr, thomas, aaron, , south melbourne, 2321, 4, brigalow street, , 04 77646881, 9590696, 1, NoRole
rec-71-org,   eng, f, 23, 19930830, ms, kyle, madison, vic, boondall, 2680, 11, learmonth drive, the dales, 618 38000173, 1178780, 7, NoRole
rec-31-org,   chi, f, , 19590819, pfc, oliver, shun, nsw, phegans bay, 2009, 670, warring place, oaklodge, 2 99860243, 2313425, 7, NoRole
rec-255-org,   unk, f, , 19360406, , andrew, schwanke, wa, swanbourne, 2731, 5, coranderrk street, villa 5, 08 49200763, 4450968, 2, NoRole
rec-462-org,   unk, , , 19950412, ms, carly, sckel, vic, douglas, 3066, 14, albermarle place, , 08 67547254, 5849352, 8, NoRole
rec-477-org,   unk, f, 27, 19890216, , jack, aani, wa, cundinup, 4215, 24, mackellar crescent, walungurru community, 618 18316791, 1455987, 5, NoRole
rec-149-org,   usa, , , 19800116, , william, kemp, , sale, 4207, 70, barraclough crescent, , 07 11375818, 7846060, 5, NoRole
rec-400-org,   ind, m, 28, 19880307, ms, thomas, thulasidas, vic, talbot, 3590, 40, boddington crescent, , 8 33664117, 9676252, 1, NoRole
rec-472-org,   ind, m, 22, 19940614, , carly, samit, tas, myalla, 4216, 33, glenmaggie street, , 7 37105725, 8233780, 5, NoRole
rec-479-org,   chi, m, 25, 19911129, ms, hayley, xia, vic, gladysdale, 3911, 10, malara street, , 618 68878846, 1272947, 0, NoRole
rec-429-org,   unk, f, 33, , , bryce, aaternir, nsw, cambewarra, , 11, norman street, ellwood, 612 09112429, 8124518, 3, NoRole
rec-357-org,   unk, , 31, 19850125, , daniel, scirri, wa, reservoir, 4342, 4, david street, pine hill, 618 70595676, 4836293, 4, NoRole
rec-417-org,   cze, m, , 19430521, , keelin, blaha, nsw, bowral, 5070, 668, wyangala street, , 2 14731407, 1730171, 6, NoRole
rec-493-org,   chi, m, 36, 19800329, , montana, kan, vic, lake tyers, 3629, 11, rosenthal street, ascot park, 618 60380039, 3290729, 7, NoRole
rec-157-org,   usa, f, 10, 20060819, , oakleigh, glenn, qld, coonamble, 3690, 6, howitt street, rockview, 613 66832004, 2585051, 8, NoRole
rec-248-org,   usa, , 22, 19940507, dr, jared, rivera, nsw, austinmer, 4565, 15, earle place, belgravia estate, 612 71675434, 3628292, 1, NoRole
rec-47-org,   eng, f, 30, 19860215, hon, deakin, haywood, qld, minnamoolka, 2250, 1525, kinchela crescent, , 03 77963101, 5530330, 9, NoRole
rec-19-org,   , f, 26, 19900427, , jaiden, kerkham, nsw, wedderburn, 2137, 8, cavenagh place, , 612 20814393, 6571045, 5, NoRole
rec-412-dup-0, eng, , 33, 19830908, , cle ent, sa ds, nsw, university of  ollongong, 2065, 10 , gougerstreet, , 2 15895627, 9326090, 2, NoRole
rec-315-org,   wel, f, 36, 19800419, , amy, philipes, qld, blue mountain, 6050, 518, mccabe crescent, , 03 56574630, 7795756, 0, NoRole
rec-300-org,   usa, f, 28, , , darcy, best, wa, mount claremont, 2031, 41, menkens court, hopkins view, 08 47222227, 2027197, 5, NoRole
rec-168-org,   eng, f, 29, 19870606, ms, emiily, danell, sa, croydon, 2627, 1, bibby place, , 617 68366682, 6959032, 9, NoRole
rec-186-org,   ind, , 25, 19910415, , christopher, puranjay, nsw, duri, 2076, 18, richardson circuit, , 02 75144227, 6810457, 4, NoRole
rec-68-org,   vie, m, 25, 19910726, dr, abby, huynh, nsw, birriwa, 3142, 154, burnett street, hd tickera, 08 41655451, 7263322, 8, NoRole
rec-91-org,   iri, , 37, , , lachlan, ocleirigh, nsw, naradhan, 4871, 100, glencross street, island court, 02 39264086, 7304718, 3, NoRole
rec-218-org,   ind, f, , 19730130, ms, marcus, vamshi, qld, leichhardt, 2829, 6, southwell street, eastern end, 3 68326028, 8356170, 5, NoRole
rec-380-org,   usa, m, 30, 19860712, ms, william, mckinney, nsw, noraville, 2575, 14, moorhouse street, hickeys creek, 2 92795563, 5309893, 6, NoRole
rec-385-org,   unk, f, , 19570923, ms, annabelle, stratou, qld, withcott, 3087, 48, la perouse street, , 613 62220788, 2462981, 6, NoRole
rec-333-org,   usa, m, , , , madeline, grimes, qld, silverleigh, 3040, 10, goldsworthy place, hallsville, 03 81285116, 9511389, 9, NoRole
rec-228-org,   ind, f, 22, 19940118, , jade, samit, wa, , 3130, 20, packham place, stonington, 8 82972703, 8570951, 2, NoRole
rec-349-org,   usa, f, 27, 19891014, , caleb, cain, vic, epsom, 4132, 40, rischbieth crescent, , 618 33322856, 3304504, 8, NoRole
rec-402-org,   eng, m, , 19781015, pfc, henry, macdougall, wa, west leederville, 2290, 55, badimara street, , 618 57345810, 7808562, 7, NoRole
rec-309-org,   usa, m, 28, 19880713, , kyle, hull, sa, arundel, 6720, 5, arden place, balmoral garden, 7 11886519, 1909429, 9, NoRole
rec-376-org,   eng, f, , 19901122, dr, hugo, shelby, vic, koroit, 3053, 14, burnie street, , 618 71301537, 2482403, 9, NoRole
rec-136-org,   eng, f, 22, 19940814, , dante, wyman, , cooranbong, 4153, 102, van praag place, , 08 24138144, 4497889, 1, NoRole
rec-482-dup-0, eng, , 34, 19820220, , montana, quinkey, nzw, st leonaahds, , 4, dampier cresent, , 02 02855496, 1716706, 3, NoRole
rec-263-org,   unk, m, 31, 19850330, mr, connor, aaron, nsw, laguna, 3265, 11, tatchell street, , 2 04952233, 1264880, 8, NoRole
rec-93-dup-0, sri, v, 31, 19850421, , zamie, liyanake, , lavinkton, 6233, 30, fawkner sdreet, , 04 84484491, 7196853, 6, NoRole
rec-356-org,   ind, f, 34, 19820401, , tansy, chandak, vic, carlingford, 6022, 18, hansen circuit, brokenspoke, 618 24184076, 5268932, 6, NoRole
rec-439-org,   usa, , 26, 19901106, , jackson, cummings, , surry hills, 3860, 259, duggan street, booleringa, 04 59129895, 8954615, 5, NoRole
rec-303-org,   chi, f, 21, 19950514, , adam, hei, nsw, wirrimah, 2450, 26, kulgera street, , 08 09474321, 4526281, 7, NoRole
rec-79-org,   usa, , 29, 19870622, , alessandria, lambert, vic, duncraig, 2148, 39, bowler place, loxley road, 8 73551602, 8855931, 9, NoRole
rec-399-org,   unk, m, 26, 19900510, , thomas, strapp, qld, mount luke, 3076, 7, , , 03 49552459, 1684636, 2, NoRole
rec-130-org,   usa, , 34, , , hannah, carver, tas, woodbury, 7026, 3, beaney street, chelsea house, 07 48425598, 4989644, 6, NoRole
rec-494-org,   usa, , 36, 19800222, , sophie, frazier, nsw, leeton, 7178, 59, goossens place, , 612 62498203, 8631285, 5, NoRole
rec-488-org,   ger, f, 26, 19900723, , christian, gller, wa, binduli, 3019, 50, whittell crescent, walnut grove estate, 618 33626641, 4183545, 1, NoRole
rec-473-org,   unk, f, 28, , mr, mya, scollard, qld, webb, 3152, 12, saw place, , 07 43038854, 6621380, 1, NoRole
rec-38-dup-0, usa, , 26, 19901215, , kelsey, mcfadd en, nsw, cal lal, 403 , 2 , peacock place, tintagel, 02 807 73426, 979487 3, 4, NoRole
rec-250-org,   usa, f, 30, 19861006, ms, taylor, bolton, qld, altona north, 3280, 18, bailey place, , 3 61801815, 4879956, 2, NoRole
rec-434-org,   chi, m, 25, 19910824, , robbie, jye, nsw, beaconsfield, 5061, 228, tobermorey place, , 02 43727243, 2651170, 1, NoRole
rec-240-org,   usa, f, 20, 19961027, , luke, rowland, , seven hills, 6020, 43, birrigai square, , 07 17081744, 4417659, 3, NoRole
rec-367-org,   , f, 20, 19961117, mr, holly, baddeley, qld, mulgrave, 2646, 5, moonbi crescent, house 16 pandanus park, 3 50906898, 8068972, 1, NoRole
rec-107-org,   usa, , , 19350815, , jacob, guthrie, vic, bangholme, 3977, 54, hagelthorn street, , 618 58380275, 9993720, 5, NoRole
rec-282-org,   ind, m, 30, 19860115, ms, joel, vivekanand, , oakville, 3099, 8, clement place, , 03 67119290, 6489734, 8, NoRole
rec-170-org,   usa, f, 28, 19880801, , solomon, wynn, qld, ogmore, 3055, 85, macfaull place, mount beevor, 3 56161093, 9386702, 2, NoRole
rec-25-org,   eng, f, 27, 19890307, ms, alex, mathaton, , harbord, 3095, 199, mather street, , 02 42977345, 1254837, 7, NoRole
rec-486-org,   usa, f, 34, 19821117, , olivia, chavez, nsw, oatley, 4073, 30, tazewell circuit, , 612 36703581, 7701305, 7, NoRole
rec-150-org,   eng, f, 25, 19910604, , jasmyn, sands, vic, bengworden, 3723, 24, axford place, earl haven, 8 54195993, 9818351, 5, NoRole
rec-426-org,   usa, f, , , , cameron, guthrie, nsw, meerschaum vale, , 32, beirne street, menedebri, 02 39225618, 2959995, 1, NoRole
rec-430-org,   usa, , 26, 19900716, , jack, mosley, vic, drouin, 3149, 6, garran place, macian house, 08 62016967, 6828384, 6, NoRole
rec-125-org,   eng, f, 24, 19920401, ms, lillianna, newell, wa, malmalling, 2032, 39, burara crescent, , 8 78826838, 1721353, 0, NoRole
rec-478-org,   eng, f, 9, , , jayden, witherspoon, , budgewoi, 2103, 13, humble court, cherrybank, 04 39629919, 1864722, 0, NoRole
rec-188-org,   eng, f, 34, 19821020, , gabrielle, stoddard, vic, carlton, 2222, 10, bimberi crescent, , 8 19025957, 3837119, 7, NoRole
rec-319-org,   chi, f, , 19830510, ms, alexandra, niu, nt, numbulwar, 6057, 2, james smith circuit, nootina, 613 20716599, 1753567, 2, NoRole
rec-62-org,   ser, m, , 19241016, , joshua, madzarevic, vic, murtoa, 3199, 110, twelve trees crescent, , 08 96167880, 8802435, 8, NoRole
rec-482-org,   eng, , 34, 19820220, , montanna, quincey, nsw, st leonards, , 4, dampier crescent, , 02 02855496, 1716706, 3, NoRole
rec-76-org,   chi, f, 29, 19870408, mr, alexandra, chieh, nsw, wrights beach, 7301, 17, namatjira drive, ronato, 612 64920103, 8117040, 9, NoRole
rec-54-org,   unk, m, , 19131013, , teagan, aarnoudse, , altona north, 4740, 58, herington street, , 02 44378945, 9557400, 8, NoRole
rec-119-dup-0, unk, m, 31, 19860309, , reevd, sciri, wa, neendaling, 2099, 8, kallaroo road, , 08 24773001, 6915403, 0, NoRole
rec-183-org,   chi, , 36, 19800616, , toby, zhan, qld, thornleigh, 3166, 19, collings street, , 3 94558121, 9208709, 0, NoRole
rec-147-org,   usa, f, 22, , , lillian, wilkinson, qld, rochedale, 5075, 26, robe street, kurrabri, 03 78822738, 7885575, 8, NoRole
rec-311-org,   usa, m, , 19440425, , bethany, blackwell, qld, rowville, 2799, 519, finniss crescent, , 3 72513482, 5811319, 8, NoRole
rec-48-org,   ina, , , 19500602, , ben, sutanto, vic, invergordon, 2603, 17, tyner street, hillbyrne, 03 12726901, 4576740, 6, NoRole
rec-277-org,   pol, f, 20, 19960519, , declen, dabrowski, qld, forestdale, 3150, 3, hammond close, , 3 93951778, 9829419, 0, NoRole
rec-298-org,   ara, m, 33, 19830430, dr, ellen, khatera, nsw, pallamallawa, 2480, 7, fihelly street, , 2 84220259, 1031304, 1, NoRole
rec-164-org,   chi, , , 19321231, ms, alana, mak, nsw, wards river, 5093, 1, hawkesbury crescent, ellice hill este, 612 52614974, 2715856, 2, NoRole
rec-57-org,   usa, f, 38, , , jessica, finley, vic, wendouree, 3199, 296, pierces ck, dalamar, 8 76594222, 9045802, 1, NoRole
rec-317-org,   abo, f, 41, , , imogen, tapai, sa, theodore, 2905, 61, temperley street, , 7 70013130, 5857618, 1, NoRole
rec-175-org,   usa, f, 32, 19840823, ms, chelsea, nguyen, wa, antonymyre, 3102, , verbrugghen street, , 618 02659999, 3782357, 2, NoRole
rec-50-org,   ind, , 27, 19890206, , olivia, vattikota, nsw, wallarah, 4220, 20, , , 2 58036255, 7405904, 9, NoRole
rec-339-org,   usa, f, 29, 19871120, mr, matilda, zimmerman, sa, frankston, 3806, 780, scarborough street, , 617 29590264, 2226524, 9, NoRole
rec-375-org,   usa, f, 25, 19910731, ms, emmerson, gallegos, qld, edens landing, 2295, 30, prior place, tongul, 03 49758913, 7178490, 4, NoRole
rec-273-org,   unk, f, , 19451119, , harley, aaberg, nsw, raymond terrace, 4215, 12, heagney crescent, lindfield place, 2 08204533, 2469540, 2, NoRole
rec-123-org,   usa, , 23, 19930806, , tyler, harris, , glengowrie, 7307, 6, wattle street, , 03 50426178, 1679244, 3, NoRole
rec-108-org,   chi, , 30, 19860212, , mark, ouyang, nsw, pelton, 3057, 75, maxworthy street, , 2 44024931, 9424985, 4, NoRole
rec-103-org,   rom, f, 30, 19861105, , charlotte, kogalniceaunu, sa, cronulla, 6163, 28, yolla place, mindaree, 7 37229439, 3854965, 4, NoRole
rec-310-org,   wel, , 23, 19930402, ms, max, abernethy, vic, tidal river, 3976, 13, bamford street, sec 21, 618 74765991, 4651160, 9, NoRole
rec-329-org,   eng, f, 23, 19930829, , caitlin, daniell, , smithtown, 2821, 26, dumas street, up the back, 03 35627831, 7533397, 8, NoRole
rec-415-org,   usa, , 19, 19971102, , matteus, hall, , deniliquin, 2902, 36, buvelot street, , 02 60512478, 3130303, 7, NoRole
rec-304-org,   ita, m, 29, , mr, rosie, palminteri, sa, armidale, 4051, 27, kelleway avenue, , 02 09249940, 2664505, 1, NoRole
rec-124-org,   usa, , , , , cameron, marquez, nsw, springfield, 4055, 20, anketell street, , 612 75401339, 6144815, 4, NoRole
rec-483-org,   usa, f, , 19120519, , ethan, bonner, vic, greendale, 6058, 82, aspinall street, broadford, 618 22573381, 2511489, 1, NoRole
rec-245-org,   usa, f, , 19020922, ms, chelsea, hooper, nsw, elanora heights, 4680, 172, watt place, , 612 49237476, 5901186, 2, NoRole
rec-362-org,   eng, , 38, 19781109, mr, sarah, gibb, vic, rokeby, 3188, 957, marquet retreat, , , 5502317, 1, NoRole
rec-205-org,   pak, , 26, 19901122, , benjamin, khonkar, tas, penna, 2212, 45, coranderrk street, sec 1, , 7375407, 2, NoRole
rec-49-org,   eng, m, , 19261116, , kristo, hardwick, nsw, nashdale, 5214, 2, prell place, , 2 69389987, 2665787, 8, NoRole
rec-194-org,   unk, , , 19721123, , oliver, scime, nsw, fiddletown, 3356, , rymill place, , 612 16333820, 2419188, 7, NoRole
rec-257-org,   usa, , 24, , , charlotte, walter, nt, ti tree, 5268, 123, vowles road, kilwinning, 3 76543380, 6155086, 7, NoRole
rec-61-org,   unk, f, , 19211209, , bradley, scollard, qld, allenstown, 2830, 52, cashion court, , 3 18981147, 6214782, 0, NoRole
rec-371-org,   chi, m, 32, 19840227, ms, samuel, kan, qld, binningup, 4101, 81, allambee street, bella dona, 03 58159224, 1448653, 4, NoRole
rec-256-org,   afr, f, 13, 20030129, , ethan, kabongo, qld, mount marshall, 2261, 10, st john crescent, keralta, 613 02148663, 4129533, 1, NoRole
rec-352-org,   chi, f, 30, , , kyra, shing, vic, johnsonville, 2605, 13, millhouse crescent, edellen, 8 05565586, 1526114, 1, NoRole
rec-274-org,   unk, f, 24, 19920212, dr, joshua, scopel, nsw, running stream, 3995, 72, brough place, donore, 612 50521054, 2684760, 1, NoRole
rec-113-org,   eng, f, 11, 20051003, , taylor, babcock, nsw, grabben gullen, 2443, 11, clare dennis avenue, loma langie, 02 64528293, 8396017, 9, NoRole
rec-145-org,   usa, , 20, 19960420, , harrison, lai, nsw, pennant hills, 2614, 12, leibnitz place, greenslopes, 2 71573196, 6881335, 8, NoRole
rec-185-org,   chi, , 28, 19881031, ms, jaimee, fang, vic, coragulac, 2126, 16, veal place, , 8 68449503, 1512993, 7, NoRole
rec-116-org,   chi, f, , 19160727, ms, rohan, guo, qld, bell, 7260, 23, coglin place, , 613 58801279, 5780212, 0, NoRole
rec-115-org,   chi, m, 10, 20060916, ms, talia, wong, sa, burnside, 2423, 1, jarrahdale street, urambi vlge, 07 17755165, 7991697, 4, NoRole
rec-55-org,   unk, f, 26, 19900610, , rupert, abadi, nsw, richmond hill, 3134, 28, kay place, , , 2116581, 3, NoRole
rec-159-org,   eng, f, 8, 20080110, ms, georgia, seaver, nsw, nymagee, 4670, 68, , glenmore, 2 02456273, 1011486, 5, NoRole
rec-52-org,   nor, m, 35, 19810130, ms, tom, solbakken, vic, mountain gate, 4012, 36, musgrave street, , 8 32371034, 9253653, 2, NoRole
rec-215-dup-0, por, f, , 19980826, sgt, sam el, feijo, vic, tec oma, 2 00, 41, totterdell street, , 08 54 19477, 52152 4, 6, NoRole
rec-21-org,   eng, f, , 19430218, dr, tommy, mcgrory, nsw, wallendbeen, 2318, 71, ellerston avenue, , , 3268947, 1, NoRole
rec-475-org,   vie, , 27, 19890501, , andrew, do, qld, guanaba, 3717, 114, baume crescent, settle downs, 613 06610001, 9378789, 9, NoRole
rec-152-org,   hun, f, 32, 19840514, , lauren, lajtos, , currajong, 2096, 42, wandoo street, , , 2857510, 7, NoRole
rec-355-org,   afr, , 30, 19861202, , emma, kebede, , wongaling beach, 4800, 53, riordan street, , 03 73028931, 5939375, 9, NoRole
rec-3-org,   fre, , 19, , hon, katelin, grelot, , ashfield, 2095, 10, grace place, wombinoo station, 04 16257038, 4599175, 5, NoRole
rec-397-org,   ind, m, , 19361007, , jack, ujjwal, qld, west rockhampton, 2026, 8, morgan crescent, calliope caravan park, 613 76682494, 9308444, 8, NoRole
rec-289-org,   fre, f, 8, 20080901, , holly, fiere, vic, inglewood, 3152, 46, wrenfordsley place, , 8 01159554, 4396203, 9, NoRole
rec-484-org,   usa, f, 33, , , petreece, terrell, , blacktown, 2101, 249, jansz crescent, , 04 23828213, 2778385, 1, NoRole
rec-97-org,   usa, f, 28, 19880217, , ky, oliver, vic, goroke, 3280, 67, severne crescent, , 8 28120937, 1154245, 9, NoRole
rec-15-org,   chi, , , 19930822, , jay, ly, nsw, eastwood, 6210, 6, mccormack street, struan hse, , 9667322, 8, NoRole
rec-301-org,   hun, m, , 19990530, ms, william, balzar, wa, indee, 4740, 16, mackellar crescent, , 618 60643633, 9208190, 5, NoRole
rec-99-org,   eng, f, , 19330828, , april, winchester, nsw, upper horton, 3206, 5, emily bulcock crescent, the swamp, 02 68320189, 4092717, 1, NoRole
rec-166-org,   usa, m, , 19360817, , amber, padilla, nsw, koorawatha, 3186, 29, watkins street, marriott downs, 2 29433242, 2058095, 6, NoRole
rec-469-org,   eng, f, 31, 19850512, , william, stoddard, nsw, moonee beach, 7015, 67, sulman place, bara park, 612 70227981, 4587413, 5, NoRole
rec-172-org,   unk, f, , 19410614, , jade, scjum, , belmont north, 2158, 31, lempriere crescent, , 07 36090512, 9591020, 3, NoRole
rec-119-org,   unk, m, 30, 19860319, , reeve, scirri, wa, neendaling, 2099, 8, kallaroo road, kooyong, 08 24773001, 6915403, 0, NoRole
rec-428-org,   eng, , 33, 19830214, mr, daniella, fairclough, qld, windermere, 5461, 40, chewings street, , 3 98137561, 9276271, 1, NoRole
rec-63-dup-0, usa, , 28, 19880620, , taniel, whidley, ns, krowdy head, 4209, 33, sttrathgordon court, , 2 45379682, 5104499, 9, NoRole
rec-67-org,   unk, f, , 19110101, , erin, abat, vic, elwood, 6028, 20, lorne place, , , 7613725, 1, NoRole
rec-354-org,   eng, , 35, 19811016, , jade, wyndham, nsw, argenton, 4870, 4, conyers street, brentwood vlge, 02 56568875, 2062035, 1, NoRole
rec-458-org,   unk, , , 19431013, , emiily, scjum, sa, panorama, 2068, , nullagine street, , 7 99475165, 2911481, 5, NoRole
rec-195-org,   unk, f, 23, 19930608, ms, zoe, scollard, qld, west haldon, 4556, 22, goldner circuit, , 3 85218481, 5327168, 9, NoRole
rec-388-org,   ser, f, 11, 20051014, hon, sonja, maluta, vic, willung south, 3071, 100, wylde place, medical centre, , 7626188, 5, NoRole
rec-249-org,   unk, f, 23, 19930921, , stephanie, abbitt, nsw, mosman, 6255, 39, banks street, , 02 34265138, 6807846, 1, NoRole
rec-1-org,   usa, f, 32, 19840928, ms, ruben, fischer, vic, werribee, 2800, 5, thomas hart street, , 8 39409705, 9761649, 8, NoRole
rec-229-org,   usa, f, 31, 19850115, ms, noah, ward, qld, laverton, 6210, 31, hutchison crescent, clanoc cottage, 613 60623396, 7127685, 2, NoRole
rec-456-org,   usa, m, , 19340722, , alexandra, henry, vic, kalbar, 3153, 138, mckillop circuit, , 618 26874803, 7224614, 2, NoRole
rec-224-org,   chi, , 21, 19950701, , chase, sha, , vaucluse, 7315, 5, magrath crescent, , 08 40028772, 2672705, 7, NoRole
rec-161-org,   usa, , 29, 19871104, , trinity, page, nsw, lurnea, 4505, 37, blair street, , 02 15209359, 6287189, 0, NoRole
rec-242-org,   abo, f, 31, 19850705, , grace, goolagong, nsw, mount pritchard, 3051, 41, james smith circuit, hilltop view motel, 2 59584956, 6371415, 7, NoRole
rec-92-org,   usa, f, , 19600717, ms, kiria, turner, wa, dampier peninsula, 2217, 21, chandler street, shelbourne woodstock, 618 77622987, 4007246, 3, NoRole
rec-109-org,   usa, m, , 19261005, ms, amy, parrish, nsw, brogo, 4570, 21, deamer crescent, tintagel, 612 01451852, 8556376, 3, NoRole
rec-405-org,   chi, , 33, 19830126, dr, hannah, tau, vic, houston, 4069, 17, barada crescent, wallaces ck, 618 60835171, 5621893, 4, NoRole
rec-127-org,   eng, f, 25, 19911020, mr, erin, dennell, wa, duncraig, 4215, 15, fox place, , 02 34975572, 3994865, 8, NoRole
rec-11-org,   chi, f, 21, 19951009, , ainsley, bing, wa, wubin, 7249, 48, roope close, rowethorpe, , 7304975, 0, NoRole
rec-162-org,   ind, f, 38, 19781005, , clodagh, gaekwad, qld, ayr, 2206, 56, downard street, kings apmts, , 7788322, 5, NoRole
rec-377-org,   ind, f, , 19850627, , catherine, lalit, wa, redmond, 5501, 7, wirangu place, bristin, 618 66219574, 2880978, 7, NoRole
rec-22-org,   ira, m, 41, 19750228, , ella, heidari, , dianella, 3028, 6, fiveash street, , 02 42993609, 1808590, 4, NoRole
rec-41-org,   sri, , 6, 20100202, , gabriel, kaluantharana, sa, flinders park, 2672, 28, gosse street, , 7 34291864, 3372517, 6, NoRole
rec-487-org,   eng, , 43, 19730617, mr, zachary, rowntree, qld, currajah, 6025, 96, christmas street, , 02 40690268, 3545455, 7, NoRole
rec-445-org,   usa, f, 33, 19831021, , madeline, cruz, vic, wiseleigh, 2299, 121, tom roberts avenue, , 618 16709220, 8190758, 7, NoRole
rec-154-org,   ser, , 13, 20030207, , georgia, jakupovic, nsw, fullerton, 4800, 10, skeats street, langley flats, 2 51105646, 9609221, 8, NoRole
rec-453-org,   usa, f, , 19890804, , connor, willis, qld, cronulla, 4520, 307, petterd street, , 3 36574416, 9933028, 6, NoRole
rec-425-org,   usa, f, 22, 19941110, , jackson, greer, vic, richmond, 2761, 48, hazel street, little tinana, 8 94678656, 5725829, 1, NoRole
rec-308-org,   pak, , 21, 19951008, ms, cooper, bhutto, vic, mildura, 4218, 105, hinkler street, , 8 76897246, 3629842, 1, NoRole
rec-260-org,   eng, f, 30, 19860201, , ryleh, lund, , highton, 3130, , stephens place, golden oaks village, 03 89425481, 5863736, 1, NoRole
rec-399-dup-0, unk, m, 2 , 19900510, , thomas, str pp, qld, moun  luke, 3076, 7, , , 0349552459, 16846 6, 2, NoRole
rec-366-org,   unk, f, 28, 19880909, mr, georgia, scirri, , campbelltown, 2259, 67, dixon drive, , 02 93702581, 9556277, 9, NoRole
rec-70-org,   rus, f, , 19090214, , brinley, tkachenko, nsw, nashdale, 2229, 459, von guerard crescent, , 02 95879373, 2014827, 6, NoRole
rec-83-org,   chi, f, 37, 19791229, , jordan, dzwo, qld, kamerunga, 2534, 35, endeavour street, , 3 59529933, 6413110, 3, NoRole
rec-29-org,   rus, , 38, 19781130, , benjamin, kuzenkova, , barwon heads, 4650, 3, nimbin street, , 04 24224565, 3829993, 3, NoRole
rec-131-org,   usa, f, 35, 19811124, ms, mitchell, wilkinson, tas, riana, 3067, , kemsley place, , 617 08520636, 7137438, 4, NoRole
rec-265-org,   unk, f, 7, 20091221, , alisa, strapp, nsw, hannam vale, 3139, 67, inglis place, , 02 68159245, 4187941, 2, NoRole
rec-454-org,   ger, f, 13, 20030401, , lauren, knopf, sa, lewiston, 5112, 64, strangways street, , 617 46807959, 6651961, 8, NoRole
rec-233-org,   ind, f, 22, 19940511, , joshua, subramanium, , nunawading, 2084, 4, haydon drive, , 02 24579646, 2177035, 2, NoRole
rec-213-org,   unk, , 32, , , harrison, scime, act, richardson, 4812, 34, martley circuit, spring creek, 2 75893581, 5096045, 3, NoRole
rec-163-org,   por, f, 21, 19950722, , benjamin, zonta, sa, noarlunga centre, 4680, 71, mandurah place, killarney cottage, 617 17331945, 9365274, 1, NoRole
rec-94-org,   usa, f, 25, 19910407, , emma, skinner, qld, laidley north, 0810, 16, marulda street, south retreat, 3 71831192, 7538114, 0, NoRole
rec-498-org,   afg, f, 24, 19921001, , alexander, afridi, nsw, wellington, 3163, 11, rubbo crescent, , , 5121621, 1, NoRole
rec-489-org,   usa, f, 27, 19890221, , madison, walls, vic, mansfield, 3068, 1, learmonth drive, yarrabee, 618 50642225, 8787878, 6, NoRole
rec-438-org,   cze, f, 29, 19870218, ms, sarah, ruzicka, vic, moggs creek, 7009, 709, fisken crescent, rosetta village, 8 60590435, 1114330, 2, NoRole
rec-280-org,   eng, f, 41, 19750225, , jasmyn, sergeant, sa, rostrevor, 6004, 121, clarey crescent, , 07 79723715, 8885032, 9, NoRole
rec-100-org,   rom, f, 34, 19820316, ms, thomas, dragomir, qld, , 5062, 19, riddell court, , 3 31537927, 2823100, 9, NoRole
rec-40-org,   ind, m, 26, 19900330, ms, patrick, odhrani, vic, carapook, 2160, 504, ern florence crescent, , 8 48789525, 6635838, 8, NoRole
rec-252-org,   chi, , 31, 19850913, , bailey, hoong, qld, durong south, 3825, 5, crisp circuit, , 613 46788531, 7386682, 6, NoRole
rec-433-org,   , , , 19961017, , sam, campbell, vic, tangambalanga, 3350, 4, ambalindum street, , , 5351210, 5, NoRole
rec-43-org,   ser, f, 33, 19830602, , samuel, cackovic, qld, tuan forest, 3523, 13, hopkins street, silverdale south, 03 02015219, 7741168, 9, NoRole
rec-345-dup-0, unk, , 40, 19761219, , ella, scope l, nsw, belmon  south, 6151, 70 0, ellerston avenue, , 612 6236 6386, 924 9325, 2, NoRole
rec-442-org,   usa, f, 19, 19970201, , hayden, pruitt, tas, hampshire, 4880, 2, walsh place, carrington garden, 617 81319640, 1250017, 2, NoRole
rec-81-org,   usa, f, 29, 19870502, , hayden, noel, nsw, seaforth, 3206, 48, blamey crescent, , 02 39863193, 7399832, 2, NoRole
rec-386-org,   afr, m, 29, 19871108, ms, deakin, bakouma, qld, kincora, 6059, 5, cochrane crescent, , 03 56833606, 8079423, 5, NoRole
rec-323-org,   eng, , 40, , , arki, leonardson, vic, speed, 3844, 327, murranji street, red hill fruit, 08 58947451, 1140893, 7, NoRole
rec-370-org,   sri, f, , 19150610, , jessica, leelani?, nsw, moorooka, 3912, 25, foveaux street, , 2 49756183, 6197478, 4, NoRole
rec-299-org,   ger, , , 19821009, , bianca, beutel, nsw, nunawading, 2299, 61, , gulmarg, 02 34190285, 6748438, 3, NoRole
rec-128-org,   usa, f, 28, , , jade, tucker, nsw, limeburners creek, 4128, 21, forbes street, myross, 2 66672719, 4394552, 4, NoRole
rec-127-dup-0, eng, f, 25, 19911020, mr, erij, dennelul, wa, dunchraig, 4215, 15, fox pkace, , 02 34975572, 3994855, 8, NoRole
rec-444-org,   eng, m, , 19790714, , livia, michaels, nsw, sutton forest, 3121, 20, sambell place, woodleigh, 04 71257593, 4595720, 1, NoRole
rec-85-org,   rom, f, 29, 19870203, , lachlan, mechitbayeva, qld, simmie, 2800, 144, tipiloura street, , 613 48104688, 3441739, 8, NoRole
